lat,lon,timestamp,platform
29.07155938956686,77.30204839858604,2024-01-06 07:00:00,blinkit
28.731039096942563,77.30879010144967,2024-01-08 06:00:00,blinkit
28.83702434311968,77.04010684650783,2024-01-12 10:00:00,blinkit
28.93251957016069,76.9064544089195,2024-02-05 06:00:00,bigbasket
29.087071605554097,77.1248419006784,2024-03-10 17:00:00,blinkit
28.346532063561448,77.32681690395897,2024-04-04 00:00:00,blinkit
28.55466111010322,77.21844105642619,2024-04-24 15:00:00,blinkit
28.507925647773064,77.4201723721439,2024-01-13 13:00:00,bigbasket
28.592546562709604,77.0441310163212,2024-01-22 22:00:00,blinkit
29.081689536368867,77.02481426452434,2024-02-17 04:00:00,bigbasket
28.33986288587082,76.80133156343871,2024-03-02 23:00:00,bigbasket
28.76605081519464,76.98243665001087,2024-03-03 10:00:00,blinkit
28.88487973879233,77.43493087534593,2024-04-13 06:00:00,blinkit
28.781985598362805,77.55264099196492,2024-04-29 13:00:00,bigbasket
28.725142537737657,77.46719365051658,2024-01-23 22:00:00,blinkit
28.40064561464983,77.14792931837886,2024-02-19 21:00:00,blinkit
28.82163878656389,76.99319863898106,2024-03-10 22:00:00,bigbasket
28.460395321948926,77.52989147019244,2024-03-29 19:00:00,blinkit
28.586208712225645,77.59413273365571,2024-04-23 20:00:00,blinkit
28.407885815032063,76.92516917514459,2024-01-06 09:00:00,bigbasket
28.526536428906788,77.45305654856398,2024-02-20 03:00:00,blinkit
28.619777158203046,77.22264302543263,2024-02-20 06:00:00,blinkit
28.50985374173302,77.28569654649672,2024-02-22 17:00:00,bigbasket
28.417395394035584,77.30921524141536,2024-01-21 20:00:00,bigbasket
28.97424270953748,77.59359839274795,2024-03-20 05:00:00,blinkit
28.85127720012985,77.08537609311378,2024-04-29 15:00:00,bigbasket
28.82102248913116,77.59732582290675,2024-02-13 23:00:00,blinkit
28.449380721615547,77.13961576050698,2024-03-03 11:00:00,bigbasket
28.80214355014027,77.4614107482768,2024-03-08 07:00:00,blinkit
28.72270292359037,77.09451115512437,2024-04-06 22:00:00,bigbasket
28.35652057261689,77.23844653788763,2024-04-08 15:00:00,blinkit
28.440910639338465,77.13428676753489,2024-04-04 23:00:00,bigbasket
28.334603548278,77.05812293831671,2024-04-21 19:00:00,blinkit
28.521130233233727,77.34524230563991,2024-01-19 06:00:00,blinkit
28.95483910562698,76.90474929706446,2024-03-03 19:00:00,blinkit
28.82700272785336,77.17774693764542,2024-03-26 23:00:00,bigbasket
