user_id,order_id,timestamp,lat,lon,platform,basket_value,discount_given,repeat_purchase
1,18373,2024-01-06 07:00:00,29.07155938956686,77.30204839858604,blinkit,856.8,100,1
1,19404,2024-01-08 06:00:00,28.731039096942563,77.30879010144967,blinkit,418.4,0,1
1,7552,2024-01-12 10:00:00,28.83702434311968,77.04010684650783,blinkit,216.0,0,1
1,7584,2024-02-05 06:00:00,28.93251957016069,76.9064544089195,bigbasket,919.2,100,0
1,10280,2024-03-10 17:00:00,29.087071605554097,77.1248419006784,blinkit,639.2,0,1
1,13945,2024-04-04 00:00:00,28.346532063561448,77.32681690395897,blinkit,428.8,0,1
1,1136,2024-04-24 15:00:00,28.55466111010322,77.21844105642619,blinkit,886.4,100,0
2,18759,2024-01-13 13:00:00,28.507925647773064,77.4201723721439,bigbasket,899.2,100,1
2,8522,2024-01-22 22:00:00,28.592546562709604,77.0441310163212,blinkit,578.4,0,1
2,6774,2024-02-17 04:00:00,29.081689536368867,77.02481426452434,bigbasket,282.4,0,1
2,17142,2024-03-02 23:00:00,28.33986288587082,76.80133156343871,bigbasket,445.6,0,1
2,16746,2024-03-03 10:00:00,28.76605081519464,76.98243665001087,blinkit,435.2,0,0
2,15629,2024-04-13 06:00:00,28.88487973879233,77.43493087534593,blinkit,719.2,0,1
2,6167,2024-04-29 13:00:00,28.781985598362805,77.55264099196492,bigbasket,522.4,0,0
3,3931,2024-01-23 22:00:00,28.725142537737657,77.46719365051658,blinkit,909.6,100,1
3,1040,2024-02-19 21:00:00,28.40064561464983,77.14792931837886,blinkit,794.4,0,1
3,5950,2024-03-10 22:00:00,28.82163878656389,76.99319863898106,bigbasket,737.6,0,1
3,8256,2024-03-29 19:00:00,28.460395321948926,77.52989147019244,blinkit,860.8,100,1
3,9482,2024-04-23 20:00:00,28.586208712225645,77.59413273365571,blinkit,677.6,0,0
4,19791,2024-01-06 09:00:00,28.407885815032063,76.92516917514459,bigbasket,392.0,0,0
4,17115,2024-02-20 03:00:00,28.526536428906788,77.45305654856398,blinkit,270.4,0,1
4,13010,2024-02-20 06:00:00,28.619777158203046,77.22264302543263,blinkit,452.8,0,1
4,9530,2024-02-22 17:00:00,28.50985374173302,77.28569654649672,bigbasket,724.8,0,0
5,12804,2024-01-21 20:00:00,28.417395394035584,77.30921524141536,bigbasket,500.0,0,0
5,11810,2024-03-20 05:00:00,28.97424270953748,77.59359839274795,blinkit,961.6,100,0
5,19145,2024-04-29 15:00:00,28.85127720012985,77.08537609311378,bigbasket,837.6,0,0
6,16389,2024-02-13 23:00:00,28.82102248913116,77.59732582290675,blinkit,848.0,100,1
6,7426,2024-03-03 11:00:00,28.449380721615547,77.13961576050698,bigbasket,788.8,0,1
6,12989,2024-03-08 07:00:00,28.80214355014027,77.4614107482768,blinkit,838.4,0,1
6,17941,2024-04-06 22:00:00,28.72270292359037,77.09451115512437,bigbasket,230.4,0,1
6,4256,2024-04-08 15:00:00,28.35652057261689,77.23844653788763,blinkit,608.0,0,0
7,1239,2024-04-04 23:00:00,28.440910639338465,77.13428676753489,bigbasket,376.0,0,1
7,15468,2024-04-21 19:00:00,28.334603548278,77.05812293831671,blinkit,991.2,100,0
8,17346,2024-01-19 06:00:00,28.521130233233727,77.34524230563991,blinkit,744.0,0,0
8,10744,2024-03-03 19:00:00,28.95483910562698,76.90474929706446,blinkit,298.4,0,1
8,1292,2024-03-26 23:00:00,28.82700272785336,77.17774693764542,bigbasket,405.6,0,1
8,19823,2024-04-05 16:00:00,28.348330781915664,76.85451423422064,bigbasket,262.4,0,0
9,10325,2024-02-01 18:00:00,28.47444962269626,76.92412873506723,blinkit,294.4,0,1
9,2385,2024-02-20 15:00:00,28.33780027108519,77.56224731254038,blinkit,683.2,0,1
9,6628,2024-03-12 09:00:00,28.766411412976996,77.00695127553291,bigbasket,480.0,0,1
